time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-30 15:30:00-05:00,MyStrategy,b395f1235ef84f9fb5c65282217ed193,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-30 15:30:00-05:00,MyStrategy,b395f1235ef84f9fb5c65282217ed193,SPY,buy,market,fill,1,gtc,0.0,1,stock,324.3599853515625,1.0,0.0
2020-01-31 09:30:00-05:00,MyStrategy,1e6e28f3585c4bc5ae6ed7c751769af9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-31 09:30:00-05:00,MyStrategy,1e6e28f3585c4bc5ae6ed7c751769af9,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.0,1.0,0.0
2020-01-31 12:30:00-05:00,MyStrategy,4ffce93ccbd84965975846bede5c8ef7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-31 12:30:00-05:00,MyStrategy,4ffce93ccbd84965975846bede5c8ef7,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.0,1.0,0.0
2020-01-31 15:30:00-05:00,MyStrategy,bb07f03c39a541a498c0e19f48c3286b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-31 15:30:00-05:00,MyStrategy,bb07f03c39a541a498c0e19f48c3286b,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.0,1.0,0.0
2020-02-03 09:30:00-05:00,MyStrategy,f856a7e34efa486aa9b518e58f63cbde,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MyStrategy,f856a7e34efa486aa9b518e58f63cbde,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.3500061035156,1.0,0.0
2020-02-03 12:30:00-05:00,MyStrategy,0c3d01ebc9f74f42a42d50af03dd041d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 12:30:00-05:00,MyStrategy,0c3d01ebc9f74f42a42d50af03dd041d,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.3500061035156,1.0,0.0
2020-02-03 15:30:00-05:00,MyStrategy,b027c68939174b6e9a918aefe6590e48,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 15:30:00-05:00,MyStrategy,b027c68939174b6e9a918aefe6590e48,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.3500061035156,1.0,0.0
2020-02-04 09:30:00-05:00,MyStrategy,436021883e564d108d2f5e3f5047e982,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-04 09:30:00-05:00,MyStrategy,436021883e564d108d2f5e3f5047e982,SPY,buy,market,fill,1,gtc,0.0,1,stock,328.07000732421875,1.0,0.0
2020-02-04 12:30:00-05:00,MyStrategy,48da2571df0d44ea8d78abca5f4fdd84,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-04 12:30:00-05:00,MyStrategy,48da2571df0d44ea8d78abca5f4fdd84,SPY,buy,market,fill,1,gtc,0.0,1,stock,328.07000732421875,1.0,0.0
2020-02-04 15:30:00-05:00,MyStrategy,9f1927aadc0444c2b5c4123a9becea65,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-04 15:30:00-05:00,MyStrategy,9f1927aadc0444c2b5c4123a9becea65,SPY,buy,market,fill,1,gtc,0.0,1,stock,328.07000732421875,1.0,0.0
2020-02-05 09:30:00-05:00,MyStrategy,c405f2aac12d4f508b4652334bd83f67,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-05 09:30:00-05:00,MyStrategy,c405f2aac12d4f508b4652334bd83f67,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.2699890136719,1.0,0.0
2020-02-05 12:30:00-05:00,MyStrategy,8c0fcf854edd493cbce59b953893e507,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-05 12:30:00-05:00,MyStrategy,8c0fcf854edd493cbce59b953893e507,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.2699890136719,1.0,0.0
2020-02-05 15:30:00-05:00,MyStrategy,badeac35d7f64b569c11eda8adf888ba,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-05 15:30:00-05:00,MyStrategy,badeac35d7f64b569c11eda8adf888ba,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.2699890136719,1.0,0.0
2020-02-06 09:30:00-05:00,MyStrategy,e810183a3bc2497697a4a98800ed8329,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-06 09:30:00-05:00,MyStrategy,e810183a3bc2497697a4a98800ed8329,SPY,buy,market,fill,1,gtc,0.0,1,stock,333.9100036621094,1.0,0.0
2020-02-06 12:30:00-05:00,MyStrategy,b9f7162d33a84cd8bfad8ac15992f91d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-06 12:30:00-05:00,MyStrategy,b9f7162d33a84cd8bfad8ac15992f91d,SPY,buy,market,fill,1,gtc,0.0,1,stock,333.9100036621094,1.0,0.0
2020-02-06 15:30:00-05:00,MyStrategy,e992d0496e6a4a05bca4ee58e6bd7830,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-06 15:30:00-05:00,MyStrategy,e992d0496e6a4a05bca4ee58e6bd7830,SPY,buy,market,fill,1,gtc,0.0,1,stock,333.9100036621094,1.0,0.0
2020-02-07 09:30:00-05:00,MyStrategy,c3e804121555415e87722b6c2db7483e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-07 09:30:00-05:00,MyStrategy,c3e804121555415e87722b6c2db7483e,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.82000732421875,1.0,0.0
2020-02-07 12:30:00-05:00,MyStrategy,70078afc79a6490a962d9422ce1d6ab8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-07 12:30:00-05:00,MyStrategy,70078afc79a6490a962d9422ce1d6ab8,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.82000732421875,1.0,0.0
2020-02-07 15:30:00-05:00,MyStrategy,b091a3e54ab94dcf9e4fe734ae44504f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-07 15:30:00-05:00,MyStrategy,b091a3e54ab94dcf9e4fe734ae44504f,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.82000732421875,1.0,0.0
2020-02-10 09:30:00-05:00,MyStrategy,16a415c21ea747eca283b3f2728ec896,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MyStrategy,16a415c21ea747eca283b3f2728ec896,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.2300109863281,1.0,0.0
2020-02-10 12:30:00-05:00,MyStrategy,49abe57c30b14298a0d7a9d790b9b024,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 12:30:00-05:00,MyStrategy,49abe57c30b14298a0d7a9d790b9b024,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.2300109863281,1.0,0.0
2020-02-10 15:30:00-05:00,MyStrategy,fd7217a69d25413683bce4b94c9ebad8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 15:30:00-05:00,MyStrategy,fd7217a69d25413683bce4b94c9ebad8,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.2300109863281,1.0,0.0
2020-02-11 09:30:00-05:00,MyStrategy,1442fc237dbb48b9805c4aac5ec77931,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-11 09:30:00-05:00,MyStrategy,1442fc237dbb48b9805c4aac5ec77931,SPY,buy,market,fill,1,gtc,0.0,1,stock,336.1600036621094,1.0,0.0
2020-02-11 12:30:00-05:00,MyStrategy,016adb60f56a4069a58c66f0656aa355,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-11 12:30:00-05:00,MyStrategy,016adb60f56a4069a58c66f0656aa355,SPY,buy,market,fill,1,gtc,0.0,1,stock,336.1600036621094,1.0,0.0
